id,description,choices,answer_idx
1,これから（概略）をご説明します。","がいかく;きかく;がいりゃく;きりゃく",2
2,新しい（制度）について議論します。","せいど;しんせい;せいしつ;せいけい",1
3,彼は（権力）を持っている。","けんりょく;けんじゅつ;けんい;けんおく",1
4,彼女の（意識）が高い。","いし;いじ;いしき;いしょ",3
5,試験の（結果）を発表します。","けっか;けつか;けっこう;けつかい",1
6,この問題は（根本）的な解決が必要です。","こんぼん;こんぽん;こんほん;こほん",2
7,彼は（技術）者です。","ぎじゅつ;ぎしゅつ;ぎじゅ;ぎじ",1
8,（公共）の施設を利用する。","こうきょう;こうこう;こうげん;こうしつ",1
9,計画を（変更）しました。","へんこう;へんけん;へんしょ;へんこう",1
10,"彼は（相当）な努力をした。","そうとう;そうだい;そうこ;そうちょう",1
11,"（協力）してプロジェクトを進める。","きょうりょく;きょうじん;きょうけん;きょうしん",1
12,"彼女は（例外）なく参加します。","れいかい;れいじ;れいがい;れいさい",3
13,"次の（議論）に入ります。","ぎろう;ぎりょん;ぎろん;ぎれん",3
14,"大会の（運営）を担当する。","うんえい;うんよう;うんゆう;うんこう",1
15,"この仕事には（能力）が必要です。","のうりょく;のうりん;のうりき;のうけん",1
16,"新しい（概念）を理解する。","がいけん;がいねん;がいせん;がいれん",2
17,"（科学）的な視点で見る。","かがく;かっか;かっがく;かが",1
18,"（言語）を学ぶ。","げんご;げんこ;ごんご;げんじょ",1
19,"彼の（意見）を聞きます。","いけん;いじょう;いかん;いけつ",1
20,"その（機械）は壊れています。","きかい;きかん;きけい;きりょく",1
